iter	RMSE
349	48.21877332
350	48.21347719
351	48.20494567
352	48.1965115
353	48.19249349
354	48.19125625
355	48.18575667
356	48.17932235
357	48.1749257
358	48.17432657
359	48.17322369
360	48.16877566
361	48.1562631
362	48.14991063
363	48.13523149
364	48.12664127
365	48.1240034
366	48.11645365
367	48.10946432
368	48.10227366
369	48.09660102
370	48.09361416
371	48.08698788
372	48.07836004
373	48.07240428
374	48.06407025
375	48.05354403
376	48.0509818
377	48.04548169
378	48.03824464
379	48.03289739
380	48.02609373
381	48.0202713
382	48.01130771
383	48.00563636
384	47.99952451
385	47.99906985
386	47.99400407
387	47.98422104
388	47.97958476
389	47.97264152
390	47.96666189
391	47.96054199
392	47.95160667
393	47.94459759
394	47.939648
395	47.93626154
396	47.9325568
397	47.93009581
398	47.9245099
399	47.91877682
400	47.91800138
401	47.91286723
402	47.90571616
403	47.90005819
404	47.89097141
405	47.88870824
406	47.88391504
407	47.87636683
408	47.87597637
409	47.87228285
410	47.8665713
411	47.86094086
412	47.85569842
413	47.85073627
414	47.84739175
415	47.84005213
416	47.8354918
417	47.82827536
418	47.81788438
419	47.81751188
420	47.8132958
421	47.80575549
422	47.80073139
423	47.79498639
424	47.79161143
425	47.78338151
426	47.77886894
427	47.77220827
428	47.76713386
429	47.76119543
430	47.75605753
431	47.75159064
432	47.74488351
433	47.73948191
434	47.73334726
435	47.72776107
436	47.72418239
437	47.71128338
438	47.70941158
439	47.70626634
440	47.70061965
441	47.69403243
442	47.69129089
443	47.68428835
444	47.67715624
445	47.67062241
446	47.66688993
447	47.66002107
448	47.65291994
449	47.64744091
450	47.64524915
451	47.64467886
452	47.63877905
453	47.63570253
454	47.62993166
455	47.6296374
456	47.62722274
457	47.62119667
458	47.61516454
459	47.61058004
460	47.60487139
461	47.60033969
462	47.59650571
463	47.58716823
464	47.57705666
465	47.57179394
466	47.56363725
467	47.56100346
468	47.55564932
469	47.55030754
470	47.53881749
471	47.53360192
472	47.52647836
473	47.52034618
474	47.51406637
475	47.51374552
476	47.50902237
477	47.50680295
478	47.50311284
479	47.49621938
480	47.49355178
481	47.4882337
482	47.48574999
483	47.48197885
484	47.47673341
485	47.4691076
486	47.46057347
487	47.45713184
488	47.45002585
